event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,gps:hdop,gps:satellite-count,gps-time-to-fix,gps:vdop,ground-speed,heading,height-above-ellipsoid,height-raw,import-marked-outlier,location-error-text,manually-marked-outlier,mw:show-in-kml,raptor-workshop:migration-state,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2260938,true,2006-03-18 23:00:00.000,-116.5696667,34.0485,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260939,true,2006-03-19 02:00:00.000,-116.566,34.03333333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260940,true,2006-03-19 03:00:00.000,-116.567,34.039,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260941,true,2006-03-19 04:00:00.000,-116.5653333,34.03733333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260942,true,2006-03-19 05:00:00.000,-116.5621667,34.03316667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260943,true,2006-03-19 06:00:00.000,-116.5623333,34.03316667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260944,true,2006-03-19 07:00:00.000,-116.5623333,34.033,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260945,true,2006-03-19 08:00:00.000,-116.5623333,34.03316667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260946,true,2006-03-19 09:00:00.000,-116.5621667,34.03316667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260947,true,2006-03-19 10:00:00.000,-116.5623333,34.03316667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260948,true,2006-03-19 11:00:00.000,-116.5623333,34.03316667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260949,true,2006-03-19 12:00:00.000,-116.5623333,34.03316667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
2260950,true,2006-03-19 13:00:00.000,-116.5623333,34.03316667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57957","Morongo","Turkey Vulture Acopian Center USA GPS"
