event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,gps:hdop,gps:satellite-count,gps-time-to-fix,gps:vdop,ground-speed,heading,height-above-ellipsoid,height-raw,import-marked-outlier,location-error-text,manually-marked-outlier,mw:show-in-kml,raptor-workshop:migration-state,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
6175475372,true,2018-06-01 23:00:00.000,-123.94783,47.00033,,,,,,30.0,35.0,,"140",,,,,,,"gps","Cathartes aura","174648","Coy","Turkey Vulture Acopian Center USA GPS"
6175475373,true,2018-06-02 03:00:00.000,-123.62683,46.97467,,,,,,0.0,0.0,,"10",,,,,,,"gps","Cathartes aura","174648","Coy","Turkey Vulture Acopian Center USA GPS"
6175475374,true,2018-06-02 04:00:00.000,-123.62767,46.97217,,,,,,0.0,0.0,,"30",,,,,,,"gps","Cathartes aura","174648","Coy","Turkey Vulture Acopian Center USA GPS"
6175475375,true,2018-06-02 05:00:00.000,-123.62767,46.97217,,,,,,0.0,0.0,,"30",,,,,,,"gps","Cathartes aura","174648","Coy","Turkey Vulture Acopian Center USA GPS"
6175475376,true,2018-06-02 18:00:00.000,-123.33067,46.9375,,,,,,0.0,138.0,,"20",,,,,,,"gps","Cathartes aura","174648","Coy","Turkey Vulture Acopian Center USA GPS"
6175475377,true,2018-06-02 19:00:00.000,-123.31967,46.91917,,,,,,0.0,0.0,,"30",,,,,,,"gps","Cathartes aura","174648","Coy","Turkey Vulture Acopian Center USA GPS"
6175475378,true,2018-06-02 20:00:00.000,-123.26083,46.93333,,,,,,19.0,14.0,,"370",,,,,,,"gps","Cathartes aura","174648","Coy","Turkey Vulture Acopian Center USA GPS"
6175475379,true,2018-06-02 21:00:00.000,-123.32417,46.936,,,,,,21.0,113.0,,"110",,,,,,,"gps","Cathartes aura","174648","Coy","Turkey Vulture Acopian Center USA GPS"
6175475380,true,2018-06-02 22:00:00.000,-123.37033,46.93583,,,,,,2.0,213.0,,"40",,,,,,,"gps","Cathartes aura","174648","Coy","Turkey Vulture Acopian Center USA GPS"
6175475381,true,2018-06-02 23:00:00.000,-123.3695,46.93783,,,,,,0.0,0.0,,"2D fix",,,,,,,"gps","Cathartes aura","174648","Coy","Turkey Vulture Acopian Center USA GPS"
