event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,gps:hdop,gps:satellite-count,gps-time-to-fix,gps:vdop,ground-speed,heading,height-above-ellipsoid,height-raw,import-marked-outlier,location-error-text,manually-marked-outlier,mw:show-in-kml,raptor-workshop:migration-state,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2287090,true,2006-03-19 00:00:00.000,-116.5726667,34.05166667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287091,true,2006-03-19 01:00:00.000,-116.5726667,34.05166667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287092,true,2006-03-19 02:00:00.000,-116.5726667,34.052,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287093,true,2006-03-19 03:00:00.000,-116.5726667,34.0515,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287094,true,2006-03-19 04:00:00.000,-116.5726667,34.05166667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287095,true,2006-03-19 05:00:00.000,-116.5733333,34.05233333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287096,true,2006-03-19 06:00:00.000,-116.5735,34.05233333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287097,true,2006-03-19 07:00:00.000,-116.5733333,34.05233333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287098,true,2006-03-19 08:00:00.000,-116.5733333,34.05233333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287099,true,2006-03-19 09:00:00.000,-116.5735,34.05216667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287100,true,2006-03-19 10:00:00.000,-116.5733333,34.05216667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287101,true,2006-03-19 11:00:00.000,-116.5733333,34.05233333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287102,true,2006-03-19 12:00:00.000,-116.5733333,34.05233333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287103,true,2006-03-19 13:00:00.000,-116.5733333,34.05233333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287104,true,2006-03-19 14:00:00.000,-116.5733333,34.05233333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287105,true,2006-03-19 15:00:00.000,-116.5733333,34.05233333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287106,true,2006-03-19 16:00:00.000,-116.5733333,34.05233333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287107,true,2006-03-19 17:00:00.000,-116.5733333,34.05216667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287108,true,2006-03-19 18:00:00.000,-116.7151667,34.06566667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287109,true,2006-03-19 19:00:00.000,-116.865,34.0395,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287110,true,2006-03-19 20:00:00.000,-116.865,34.0395,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287111,true,2006-03-19 21:00:00.000,-116.865,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287112,true,2006-03-19 22:00:00.000,-116.8651667,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287113,true,2006-03-19 23:00:00.000,-116.865,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287114,true,2006-03-20 00:00:00.000,-116.865,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287115,true,2006-03-20 01:00:00.000,-116.865,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287116,true,2006-03-20 02:00:00.000,-116.8648333,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287117,true,2006-03-20 03:00:00.000,-116.865,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287118,true,2006-03-20 04:00:00.000,-116.8648333,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287119,true,2006-03-20 05:00:00.000,-116.865,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287120,true,2006-03-20 06:00:00.000,-116.8646667,34.0395,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287121,true,2006-03-20 08:00:00.000,-116.865,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287122,true,2006-03-20 09:00:00.000,-116.8653333,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287123,true,2006-03-20 10:00:00.000,-116.8651667,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287124,true,2006-03-20 11:00:00.000,-116.865,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287125,true,2006-03-20 12:00:00.000,-116.865,34.0395,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287126,true,2006-03-20 13:00:00.000,-116.8651667,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287127,true,2006-03-20 14:00:00.000,-116.8648333,34.03933333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287128,true,2006-03-20 15:00:00.000,-116.8656667,34.03483333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287129,true,2006-03-20 16:00:00.000,-116.866,34.03533333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287130,true,2006-03-20 17:00:00.000,-116.866,34.03533333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287131,true,2006-03-20 18:00:00.000,-116.8713333,34.032,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287132,true,2006-03-20 19:00:00.000,-116.9241667,33.97166667,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287133,true,2006-03-20 20:00:00.000,-117.0971667,33.999,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
2287134,true,2006-03-20 21:00:00.000,-117.1718333,34.13433333,,,,,,,,,,,,,,"SpringMigration",,"gps","Cathartes aura","57956","Rosalie","Turkey Vulture Acopian Center USA GPS"
